country,destination,attractiveness,cost,rating,visitors,score_moyen,sentiment_final,flight_price,weather,conversion_rate,score_promotion,flag_opportunite,flag_bizarre,meteo_favorable,vol_abordable,rank_promotion,cible_top5,cible_recommandation,demand_index_moy,demand_index_dernier,tendance_moy,variation_moy
France,City_25,8.65,1416,4.4,15139847,3.49,neutral,high,average,,2.927,0,0,0,0,18,0,0,83.797,84.9,0.444,-0.197
France,City_49,8.27,477,4.08,2932983,3.96,positive,high,average,,5.209,0,0,0,0,4,1,1,83.797,84.9,0.444,-0.197
France,City_27,9.68,800,3.91,4835681,2.3,negative,low,good,,4.308,1,0,1,1,7,0,0,83.797,84.9,0.444,-0.197
France,City_3,9.38,287,4.22,9376241,2.94,neutral,,,0.02,6.96,0,0,0,0,2,1,1,83.797,84.9,0.444,-0.197
France,City_17,9.78,1045,4.01,19828499,4.87,positive,,,0.15,4.073,0,0,0,0,10,0,0,83.797,84.9,0.444,-0.197
France,City_33,8.1,648,4.97,9907832,,,,,,4.286,0,0,0,0,8,0,0,83.797,84.9,0.444,-0.197
France,City_32,9.4,997,4.67,4768302,4.67,positive,,,,4.528,1,0,0,0,6,0,0,83.797,84.9,0.444,-0.197
France,City_26,9.16,1489,4.31,3549376,3.47,neutral,,,,3.497,0,0,0,0,15,0,0,83.797,84.9,0.444,-0.197
France,City_20,8.57,444,4.21,3519595,3.16,negative,medium,bad,,4.75,0,0,0,0,5,1,1,83.797,84.9,0.444,-0.197
France,City_31,9.21,228,4.35,13692704,2.22,negative,,,,7.928,0,0,0,0,1,1,1,83.797,84.9,0.444,-0.197
France,City_23,7.97,956,4.08,17971236,1.56,negative,high,bad,,2.191,0,0,0,0,20,0,0,83.797,84.9,0.444,-0.197
France,City_38,9.05,743,4.16,10058721,4.84,positive,medium,bad,,4.204,0,0,0,0,9,0,0,83.797,84.9,0.444,-0.197
France,City_14,7.3,257,4.5,16963323,2.24,neutral,low,bad,,6.119,0,1,0,1,3,1,1,83.797,84.9,0.444,-0.197
France,City_45,9.25,811,4.05,4830964,1.41,negative,,,,3.474,1,0,0,0,16,0,0,83.797,84.9,0.444,-0.197
France,City_9,8.9,974,3.65,9748116,3.7,positive,,,,3.658,0,0,0,0,11,0,0,83.797,84.9,0.444,-0.197
France,City_19,7.48,1068,4.37,1414638,1.87,negative,,,,3.633,0,0,0,0,12,0,0,83.797,84.9,0.444,-0.197
France,City_36,8.4,1451,4.44,8991087,3.68,neutral,medium,good,,3.604,0,0,1,0,14,0,0,83.797,84.9,0.444,-0.197
France,City_7,7.33,760,3.71,5553993,2.27,neutral,medium,bad,,2.879,0,0,0,0,19,0,0,83.797,84.9,0.444,-0.197
France,City_46,9.85,1319,4.73,14493600,,,,,,3.321,0,0,0,0,17,0,0,83.797,84.9,0.444,-0.197
France,City_30,8.87,1016,4.96,7881930,2.68,neutral,,,,3.608,0,0,0,0,13,0,0,83.797,84.9,0.444,-0.197
Morocco,City_35,9.93,1117,4.61,638112,4.34,positive,,,,6.627,1,0,0,0,2,1,1,105.439,99.8,0.556,-0.383
Morocco,City_46,8.33,755,3.68,18701659,,,,,,3.46,0,0,0,0,14,0,0,105.439,99.8,0.556,-0.383
Morocco,City_39,7.36,298,4.82,18022782,1.81,negative,high,good,,6.01,0,1,1,0,5,1,1,105.439,99.8,0.556,-0.383
Morocco,City_10,7.19,794,4.35,5066962,2.89,neutral,low,good,,4.18,0,0,1,1,9,0,0,105.439,99.8,0.556,-0.383
Morocco,City_20,8.57,1265,4.88,18487030,1.68,negative,,,,2.785,0,0,0,0,19,0,0,105.439,99.8,0.556,-0.383
Morocco,City_7,7.96,211,4.76,1575712,1.54,negative,medium,good,,9.143,0,0,1,0,1,1,1,105.439,99.8,0.556,-0.383
Morocco,City_5,7.79,1398,4.38,19352408,,,,,,2.884,0,1,0,0,18,0,0,105.439,99.8,0.556,-0.383
Morocco,City_22,7.49,486,3.72,18924707,3.46,neutral,medium,average,,4.15,0,1,0,0,10,0,0,105.439,99.8,0.556,-0.383
Morocco,City_31,9.11,1493,4.15,8429666,3.74,positive,low,average,,3.622,0,0,0,1,11,0,0,105.439,99.8,0.556,-0.383
Morocco,City_36,8.92,523,4.93,7886254,2.65,neutral,high,bad,,4.429,0,0,0,0,8,0,0,105.439,99.8,0.556,-0.383
Morocco,City_45,8.35,949,3.67,6107382,3.32,neutral,,,,3.429,0,0,0,0,16,0,0,105.439,99.8,0.556,-0.383
Morocco,City_23,9.44,1043,4.82,13620024,2.42,neutral,medium,average,,3.469,0,0,0,0,13,0,0,105.439,99.8,0.556,-0.383
Morocco,City_28,7.94,1334,4.54,14781977,2.54,negative,low,bad,,2.56,0,0,0,1,20,0,0,105.439,99.8,0.556,-0.383
Morocco,City_21,8.5,873,4.09,7062404,,,,,,3.581,0,0,0,0,12,0,0,105.439,99.8,0.556,-0.383
Morocco,City_14,8.82,321,4.21,16951469,,,,,,6.102,0,0,0,0,4,1,1,105.439,99.8,0.556,-0.383
Morocco,City_42,7.86,1376,4.43,14927048,,,,,,2.94,0,0,0,0,17,0,0,105.439,99.8,0.556,-0.383
Morocco,City_29,7.41,979,3.64,10769405,,,medium,good,,3.451,0,0,1,0,15,0,0,105.439,99.8,0.556,-0.383
Morocco,City_17,8.77,935,3.55,1009528,3.89,neutral,medium,average,,4.919,0,0,0,0,7,0,0,105.439,99.8,0.556,-0.383
Morocco,City_4,8.96,267,3.83,2844067,1.21,negative,,,,6.549,0,0,0,0,3,1,1,105.439,99.8,0.556,-0.383
Morocco,City_26,8.1,491,4.84,6570333,4.65,positive,,,,5.633,0,0,0,0,6,0,0,105.439,99.8,0.556,-0.383
Spain,City_36,8.61,755,3.65,3317620,2.16,neutral,high,bad,,3.101,0,0,0,0,17,0,0,81.639,88.3,0.389,0.346
Spain,City_1,9.14,823,3.56,2260155,3.67,positive,high,bad,,3.859,0,0,0,0,7,0,0,81.639,88.3,0.389,0.346
Spain,City_6,8.85,863,4.67,11402036,1.21,negative,,,,3.272,0,0,0,0,15,0,0,81.639,88.3,0.389,0.346
Spain,City_47,8.23,747,3.55,9189321,2.45,negative,,,,3.236,0,0,0,0,16,0,0,81.639,88.3,0.389,0.346
Spain,City_26,8.12,930,3.58,4407721,3.29,neutral,,,,3.477,0,0,0,0,12,0,0,81.639,88.3,0.389,0.346
Spain,City_43,9.57,629,4.65,14823413,2.74,negative,medium,bad,0.08,3.952,0,0,0,0,6,0,0,81.639,88.3,0.389,0.346
Spain,City_41,9.25,1002,4.28,13189413,3.97,neutral,low,bad,,3.515,0,0,0,1,11,0,0,81.639,88.3,0.389,0.346
Spain,City_49,7.6,236,3.76,10895298,2.08,neutral,,,,6.096,0,0,0,0,2,1,1,81.639,88.3,0.389,0.346
Spain,City_40,7.67,1478,4.89,5637928,4.26,neutral,medium,average,,3.421,0,0,0,0,13,0,0,81.639,88.3,0.389,0.346
Spain,City_32,8.79,409,3.75,18529304,,,high,good,,5.065,0,0,1,0,4,1,1,81.639,88.3,0.389,0.346
Spain,City_22,7.15,1004,4.99,7133155,2.7,neutral,,,,3.317,0,0,0,0,14,0,0,81.639,88.3,0.389,0.346
Spain,City_16,8.84,1003,4.8,3726013,2.55,negative,high,good,,3.853,0,0,1,0,8,0,0,81.639,88.3,0.389,0.346
Spain,City_21,9.19,346,4.33,6340596,2.12,negative,high,bad,,5.335,0,0,0,0,3,1,1,81.639,88.3,0.389,0.346
